,eventid,elat,elon,edep,nsta,emag,emagtype,network,station,channel,slat,slon,selv,starttime,origintime,arrival_p,arrival_s,arrival_c,endtime_cav,endtime,repi(km),rhyp(km),pga(m/s/s),pgv(m/s),maxWN(m),flow_snr(Hz),fup_snr(Hz)
0,2020-12-20 21:13:22.200,53.742,1.431,11.1,29,3.3,ML,UR,AV06,HHZ,54.1633,-0.482,173.0,2020-12-20T21:13:22.240000Z,2020-12-20T21:13:22.240000Z,2020-12-20T21:13:43.930000Z,2020-12-20T21:13:59.800000Z,2020-12-20T21:14:33.127000Z,2020-12-20T21:16:18.360000Z,2020-12-20T21:16:18.360000Z,134.052253729,134.525414918,0.000169807658088,5.63591917408e-06,0.0229621652917,0.893113589503,21.3390212774
0,2020-12-20 21:13:22.200,53.742,1.431,11.1,29,3.3,ML,UR,AV06,HHN,54.1633,-0.482,173.0,2020-12-20T21:13:22.240000Z,2020-12-20T21:13:22.240000Z,2020-12-20T21:13:43.930000Z,2020-12-20T21:13:59.800000Z,2020-12-20T21:14:33.127000Z,2020-12-20T21:16:10.000000Z,2020-12-20T21:16:18.360000Z,134.052253729,134.525414918,0.000328590001795,1.38780810767e-05,0.0229621652917,0.82331589045,21.3390212774
0,2020-12-20 21:13:22.200,53.742,1.431,11.1,29,3.3,ML,UR,AV06,HHE,54.1633,-0.482,173.0,2020-12-20T21:13:22.240000Z,2020-12-20T21:13:22.240000Z,2020-12-20T21:13:43.930000Z,2020-12-20T21:13:59.800000Z,2020-12-20T21:14:33.127000Z,2020-12-20T21:16:13.800000Z,2020-12-20T21:16:18.360000Z,134.052253729,134.525414918,0.000321636897222,1.0701199116e-05,0.0229621652917,3.56196868537,16.7168288673
